Site,Lat,Long,Height,Sat System
ABPO,-19.0180556,47.2291667,1552.9923,GPS
ALRT,82.4941667,-62.3402778,78.11,GPS
AMC2,38.8030556,-104.5244444,1912.4898,GPS
AREQ,-16.4652778,-71.4927778,2488.9226,GPS
ARTU,56.4297222,58.5602778,247.511,GPS
ARUC,40.2855556,44.0855556,1222,GPS
AZU1,34.1258333,-117.8963889,144.75,GPS
BAMF,48.8352778,-125.135,11.1,GPS
BHR3,26.2088889,50.6080556,-13.9,GPS
BHR4,26.2088889,50.6080556,-13.9,GPS
BILL,33.5780556,-117.0644444,470.06,GPS
BLYT,33.6102778,-114.7147222,85.9,GPS
BNOA,-8.7463889,115.2097222,39.056,GPS
BREW,48.1313889,-119.6825,238.6273,GPS
BRFT,-3.8772222,-38.4252778,21.7,GPS
BTNG,1.4388889,125.1902778,74.993,GPS
CAGS,45.585,-75.8072222,235,GPS
CHAN,43.7902778,125.4430556,268.3,GPS
CHIL,34.3333333,-118.0258333,1567.51,GPS
CHUM,42.9983333,74.7508333,716.3321,GPS
CHWK,49.1563889,-122.0083333,170,GPS
COSO,35.9822222,-117.8088889,1455.16,GPS
COYQ,-45.5141667,-71.8919444,476,GPS
CRAO,44.4130556,33.9908333,365.8,GPS
CRO1,17.7566667,-64.5841667,-31.4974,GPS
DEAR,-30.665,23.9925,1321.7,GPS
DHLG,33.3897222,-115.7877778,-83.05,GPS
DUM1,-66.665,140.0016667,-1.4,GPS
EIL3,64.6877778,-147.1127778,177.2,GPS
EIL4,64.6877778,-147.1127778,177.2,GPS
ESCU,47.0733333,-64.7986111,-16.02,GPS
FAIR,64.9777778,-147.4991667,319.1771,GPS
FALE,-13.8319444,-171.9994444,47.6,GPS
GENO,44.4191667,8.9208333,137,GPS
GMAS,27.7647222,-15.4675,195.4,GPS
GODE,39.0216667,-76.8266667,14.5046,GPS
GOL2,35.425,-116.8891667,986.6779,GPS
GUAO,43.4708333,87.1772222,2049.2,GPS
HALY,29.1386111,36.0997222,861.6765,GPS
HNLC,21.3030556,-157.8644444,22,GPS
HOLM,70.7363889,-117.7608333,39.5,GPS
HOLP,33.9244444,-118.1680556,-6.71,GPS
IENG,45.015,7.6391667,316.6,GPS
IISC,13.0211111,77.5702778,843.7145,GPS
INVK,68.3061111,-133.5269444,46.36,GPS
IQQE,-20.2733333,-70.1316667,38.9,GPS
IRKM,52.2188889,104.3161111,502.317,GPS
IRKT,52.2188889,104.3161111,503.3816,GPS
ISPA,-27.1247222,-109.3441667,112.4948,GPS
JOZE,52.0972222,21.0313889,141.4,GPS
KELY,66.9872222,-50.9447222,229.8,GPS
KGNI,35.7102778,139.4880556,123.5,GPS
KOKB,22.1261111,-159.6647222,1167.5216,GPS
KSMV,35.9552778,140.6575,57.9,GPS
KUNM,25.0294444,102.7969444,1986.2,GPS
LAE1,-6.6736111,146.9930556,140.35,GPS
LBCH,33.7875,-118.2033333,-27.58,GPS
MAD2,40.4288889,-4.2494444,829.5,GPS
MAG0,59.5755556,150.77,361.9266,GPS
MANA,12.1488889,-86.2488889,71,GPS
MAT1,40.6488889,16.7044444,534.5,GPS
MAUI,20.7066667,-156.2569444,3062,GPS
MCIL,24.29,153.9786111,35.66,GPS
MCM4,-77.8383333,166.6691667,98.0222,GPS
METS,60.2175,24.3952778,94.6,GPS
MFKG,-25.805,25.5397222,1310.9,GPS
